userID,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017
K3WbcDlZUBxBfx8Mv-twSg,526.0,290.0,411.0,338.0,557.0,645.0,562.0,322.0,428.0,623.0,749.0,390.0,395.0,600.0,645.0,721.0,370.0,648.0,344.0,424.0,718.0,410.0,474.0,322.0,306.0,624.0,740.0,463.0,275.0,489.0,349.0,435.0
yhHGzBppxhIRhPkWapTLJQ,427.0,621.0,399.0,280.0,533.0,78.0,410.0,243.0,654.0,209.0,135.0,328.0,125.0,365.0,294.0,336.0,508.0,265.0,159.0,311.0,570.0,417.0,349.0,358.0,701.0,727.0,1032.0,920.0,263.0,12.0,162.0,1020.0
8iDsKCYEfcL4jeGKxNtPQg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1292.0,745.0,738.0,1183.0,731.0,888.0,1188.0,1090.0,719.0,755.0,550.0,750.0,578.0,249.0,383.0,388.0,270.0,303.0,325.0
Li47SClZy_BDxLTc0mN7bQ,603.0,557.0,395.0,348.0,382.0,581.0,338.0,528.0,429.0,255.0,303.0,264.0,268.0,247.0,223.0,418.0,324.0,396.0,379.0,280.0,131.0,42.0,143.0,190.0,147.0,332.0,163.0,488.0,236.0,273.0,259.0,74.0
lAMqEaTXdyY-pgrNTEAFjw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,98.0,69.0,73.0,391.0,363.0,398.0,795.0,685.0,773.0,437.0,800.0,827.0,739.0,928.0,653.0,690.0
oVVUY8Nh5wNqJ0qLROKRkg,71.0,240.0,232.0,273.0,292.0,258.0,306.0,223.0,44.0,280.0,221.0,291.0,194.0,154.0,186.0,245.0,269.0,204.0,248.0,313.0,252.0,185.0,336.0,343.0,338.0,315.0,338.0,188.0,317.0,200.0,313.0,325.0
-Tf7mnYl8kygw0ZctlhfOw,0.0,5.0,1.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,23.0,442.0,100.0,468.0,357.0,195.0,522.0,393.0,442.0,597.0,634.0,508.0,709.0,694.0,325.0,278.0,132.0,323.0,151.0,79.0,240.0,86.0
Rttu6fe4U29LzyZ8zU9RIQ,348.0,309.0,251.0,222.0,273.0,339.0,172.0,279.0,211.0,183.0,186.0,160.0,258.0,153.0,182.0,286.0,260.0,382.0,224.0,196.0,78.0,52.0,131.0,122.0,130.0,219.0,205.0,451.0,190.0,402.0,471.0,133.0
AIVdQMXja0fmjFk_ejf7ow,114.0,105.0,172.0,280.0,83.0,134.0,258.0,178.0,154.0,177.0,421.0,125.0,164.0,179.0,254.0,372.0,335.0,452.0,196.0,367.0,236.0,100.0,270.0,255.0,251.0,170.0,79.0,224.0,356.0,387.0,321.0,228.0
Qyz97YBv9rf-V3QYWhkSbw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,958.0,240.0,481.0,422.0,309.0,248.0,390.0,469.0,671.0,457.0,310.0,472.0,583.0,446.0,348.0,554.0
