paperID,paper title,publish years,authors
628035,mixed membership matrix factorization,2010-01-01,lester w mackey;david weiss;michael i jordan
665341,topic correlation analysis for cross domain text classification,2012-07-22,lianghao li;xiaoming jin;mingsheng long
1407234,multi class leveraged,2010-01-01,paolo piro;richard nock;frank nielsen;michel barlaud
1788602,semantic relatedness using salient semantic analysis,2011-08-07,samer hassan;rada mihalcea
2581345,intrinsic image decomposition using structure texture separation and surface normals,2014-09-06,junho jeon;sunghyun cho;xin tong;seungyong lee
3038044,group chats on twitter,2013-05-13,james cook;krishnaram kenthapadi;nina mishra
3628245,hierarchical gaussian process regression,2010-01-01,sunho park;seungjin choi
4919037,regularization of neural networks using dropconnect,2013-01-01,li wan;matthew d zeiler;sixin zhang;yann le cun;rob fergus
11297145,coupled bayesian sets algorithm for semi supervised learning and information extraction,2012-09-24,saurabh verma;estevam r hruschka
11480360,future locations prediction with uncertain data,2013-09-23,disheng qiu;paolo papotti;lorenzo blanco
15375276,multi modal distance metric learning,2013-08-03,pengtao xie;eric p xing
15962362,fourier kernel learning,2012-10-07,eduard gabriel băźzăźvan;fuxin li;cristian sminchisescu
16472989,authorship attribution of micro messages,2013-10-01,roy schwartz;oren tsur;ari rappoport;moshe koppel
17346433,fast approximate nearest neighbor search with k nearest neighbor graph,2011-07-16,kiana hajebi;yasin abbasiyadkori;hossein shahbazi;hong zhang
17568124,gesture based robot control,2012-09-24,tomasz grzejszczak;michal mikulski;tadeusz szkodny;karol jedrasiak
19169051,fast allocation of gaussian process experts,2014-01-01,trung v nguyen;edwin v bonilla
21006490,wsabie scaling up to large vocabulary image annotation,2011-07-16,jason weston;samy bengio;nicolas usunier
21077339,decision management tool,2010-01-01,garry mitchell;warwick graco;hari koesmarno
22157125,semantic based process analysis,2014-10-19,chiara di francescomarino;francesco corcoglioniti;mauro dragoni;piergiorgio bertoli;roberto tiella;chiara ghidini;michele nori;marco pistore
26944259,robust visual robot localization across seasons using network flows,2014-07-27,tayyab naseer;luciano spinello;wolfram burgard;cyrill stachniss
28516297,ensemble methods for structured prediction,2014-01-01,corinna cortes;vitaly kuznetsov;mehryar mohri
32250364,a ast sampling,2014-01-01,chris j maddison;daniel tarlow;thomas p minka
33832734,nonparametric mixture of gaussian processes with constraints,2013-01-01,james c ross;james c ross;jennifer g dy
35527955,fast dropout training,2013-01-01,sida i wang;christopher d manning
40954061,interactive multi label segmentation,2010-11-08,jakob santner;thomas pock;horst bischof
42170355,labels in the web of data,2011-10-23,basil ell;denny vrandecic;elena simperl
43307813,online non parametric regression,2014-01-01,alexander rakhlin;karthik sridharan
43928412,visually extracting data records from the deep web,2013-05-13,neil anderson;jun hong
46376622,monocular multiview object tracking with 3d aspect parts,2014-09-06,yu xiang;yu xiang;changkyu song;roozbeh mottaghi;silvio savarese
50294972,structured prediction of network response,2014-01-01,hongyu su;hongyu su;aristides gionis;aristides gionis;juho rousu;juho rousu
53542644,shape from angle regularity,2012-10-07,aamer zaheer;maheen rashid;sohaib khan
55051199,true online td lambda,2014-01-01,harm van seijen;richard s sutton
55377555,efficient joint segmentation occlusion labeling stereo and flow estimation,2014-09-06,koichiro yamaguchi;david a mcallester;raquel urtasun
55636956,transforming trees to improve syntactic convergence,2012-07-01,david burkett;d klein
56210758,generalized principal component analysis,2016-04-26,rene vidal;yi ma;shankar sastry
56306824,a smart problem solving environment,2013-07-01,nguyenthinh le;niels pinkwart
56660187,parallel gaussian process regression for big data low rank representation meets markov approximation,2015-01-25,kian hsiang low;jiangbo yu;jie chen;patrick jaillet
58821489,introduction to causal inference,2010-03-01,peter spirtes
61129706,unsupervised temporal commonality discovery,2012-10-07,wensheng chu;feng zhou;fernando de la torre
61729836,schema an algorithm for automated product taxonomy mapping in e commerce,2012-05-27,steven s aanen;lennart j nederstigt;damir vandic;flavius frăsincar
63668830,entity search on the web,2013-05-13,peter mika
64813323,large scale object classification using label relation graphs,2014-01-01,jia deng;jia deng;nan ding;yangqing jia;andrea frome;kevin p murphy;samy bengio;yuan li;hartmut neven;hartwig adam
66673523,a machine learning approach for instance matching based on similarity metrics,2012-11-11,shu rong;xing niu;evan wei xiang;haofen wang;qiang yang;yong yu
68180256,local ordinal embedding,2014-01-01,yoshikazu terada;yoshikazu terada;ulrike von luxburg
68293321,knowledge powered deep learning for word embedding,2014-09-15,jiang bian;bin gao;tieyan liu
70460941,a multi scale vectorial l,2011-01-01,yiqiu dong;michael hintermuller;m monserrat rinconcamacho
70975097,deep features for text spotting,2014-09-06,max jaderberg;andrea vedaldi;andrew zisserman
71666767,consistent re identification in a camera network,2014-09-06,abir das;anirban chakraborty;amit k roychowdhury
71795751,semi supervised recursive autoencoders for predicting sentiment distributions,2011-07-01,richard socher;jeffrey pennington;eric h huang;andrew y ng;christopher d manning
72509839,image information in digital photography,2010-11-08,jaume rigau;miquel feixas;mateu sbert
77191723,on broken triangles,2016-07-09,martin c cooper;achref el mouelhi;cyril terrioux;bruno zanuttini
79158146,learning by stretching deep networks,2014-01-01,gaurav pandey;ambedkar dukkipati
83981013,inferno an intelligent framework for recognizing pornographic web pages,2011-09-05,sotiris karavarsamis;nikos ntarmos;konstantinos blekas
85461845,how document properties affect document relatedness measures,2014-04-06,jessica perrie;aminul islam;evangelos e milios
87060577,parallel structural graph clustering,2011-09-05,madeleine seeland;simon a berger;alexandros stamatakis;stefan kramer
92741151,location based insights from the social web,2013-05-13,yohei ikawa;maja vukovic;jakob rogstadius;akiko murakami
102036530,fast max margin matrix factorization with data augmentation,2013-01-01,minjie xu;jun zhu;bo zhang
102905824,efficient label propagation,2014-01-01,yasuhiro fujiwara;go irie
103340358,pathsim meta path based top k similarity search in heterogeneous information networks,2011-08-01,yizhou sun;jiawei han;xifeng yan;philip s yu;tianyi wu
104552425,analyzing schema org,2014-10-19,peter f patelschneider
104741324,measuring web quality,2013-05-13,ricardo a baezayates
106645359,information privacy and its value,2010-03-23,sabah alfedaghi
108223363,vanishing component analysis,2013-01-01,roi livni;david lehavi;sagi schein;hila nachliely;shai shalevshwartz;amir globerson
108913070,representing translations on the semantic web,2011-10-23,elena montielponsoda;jorge gracia;guadalupe aguadodecea;asuncion gomezperez
113059239,online social spammer detection,2014-07-27,xia hu;jiliang tang;huan liu
114246147,the web as a laboratory,2013-05-13,bebo white
114730584,an efficient approach for assessing hyperparameter importance,2014-01-01,frank hutter;holger h hoos;kevin leytonbrown
117952040,social media journalism and the public,2013-05-13,steve schifferes
118481696,making k means even faster,2010-01-01,greg hamerly
120692785,robust unsupervised feature selection,2013-08-03,mingjie qian;chengxiang zhai
128329261,computational disaster management,2013-08-03,pascal van hentenryck
131378802,composite objective mirror descent,2010-01-01,john c duchi;shai shalevshwartz;yoram singer;ambuj tewari
132828864,clustering based k anonymity,2012-05-29,xianmang he;huahui chen;yefang chen;yihong dong;peng wang;zhenhua huang
133182883,depth recovery using an adaptive color guided auto regressive model,2012-10-07,jingyu yang;xinchen ye;kun li;chunping hou
133251416,multi kernel gaussian processes,2011-07-16,arman melkumyan;fabio ramos
133394268,data science and machine learning at scale,2011-09-05,neel sundaresan
134985385,modular community detection in networks,2011-07-16,wenye li;dale schuurmans
136235603,fast and accurate influence maximization on large networks with pruned monte carlo simulations,2014-07-27,naoto ohsaka;takuya akiba;yuichi yoshida;kenichi kawarabayashi
136983338,learning for deep language understanding,2011-07-16,smaranda muresan
138476454,circulant binary embedding,2014-01-01,felix x yu;sanjiv kumar;yunchao gong;shihfu chang
139420056,the mash project,2011-09-05,francois fleuret;philip abbet;charles dubout;leonidas lefakis
141352744,zero shot learning via visual abstraction,2014-09-06,stanislaw antol;c lawrence zitnick;devi parikh
142463596,risk minimization probability elicitation and cost sensitive svms,2010-06-21,hamed masnadishirazi;nuno vasconcelos
143806433,feature selection for transfer learning,2011-09-05,selen uguroglu;jaime g carbonell
146125889,bayes optimal multilabel classification via probabilistic classifier chains,2010-01-01,weiwei cheng;eyke h llermeier;krzysztof dembczynski;krzysztof dembczynski
146395692,describing clothing by semantic attributes,2012-10-07,huizhong chen;andrew c gallagher;bernd girod
153210175,bioinformatics contributions to data mining,2010-07-12,isabelle bichindaritz
154472438,multimodal learning with deep boltzmann machines,2014-01-01,nitish srivastava;ruslan salakhutdinov
156852397,sempala interactive sparql query processing on hadoop,2014-10-19,alexander schatzle;martin przyjacielzablocki;antony neu;georg lausen
157251712,multi assignment clustering for boolean data,2012-01-01,mario frank;andreas p streich;david a basin;joachim m buhmann
159595522,streaming hierarchical video segmentation,2012-10-07,chenliang xu;caiming xiong;jason j corso
160238578,stroke width transform,2010-01-01,boris epshtein;eyal ofek;yonathan wexler
161114242,exploiting the circulant structure of tracking by detection with kernels,2012-10-07,joao f henriques;rui caseiro;pedro martins;jorge batista
161751758,learning a set of directions,2013-01-01,wouter m koolen;jiazhong nie;manfred k warmuth
163401298,feature selection in high dimensional classification,2013-01-01,mladen kolar;han liu
166429404,person re identification using kernel based metric learning methods,2014-09-06,fei xiong;mengran gou;octavia i camps;mario sznaier
168460524,recursive bilateral filtering,2012-10-07,qingxiong yang
169520950,client server web applications widgets,2013-05-13,vincent balat
170472577,bayesian face revisited a joint formulation,2012-10-07,dong chen;xudong cao;liwei wang;fang wen;jian sun
170967611,fast image tagging,2013-01-01,minmin chen;alice x zheng;kilian q weinberger
174104394,online graph based tracking,2014-09-06,hyeonseob nam;seunghoon hong;bohyung han
178058951,trust mechanisms for online systems,2011-07-16,jens witkowski
186937751,classifier ensemble recommendation,2012-10-07,pyry matikainen;rahul sukthankar;martial hebert
190007845,patchmatchgraph building a graph of dense patch correspondences for label transfer,2012-10-07,stephen gould;yuhang zhang
192074925,team activity recognition in sports,2012-10-07,cem direkoǧlu;noel e o connor
193661306,replication for linked data,2012-11-11,laurens rietveld
194198717,dependency parsers for persian,2012-12-01,mojgan seraji;beata megyesi;joakim nivre
196214544,generating text with recurrent neural networks,2011-01-01,ilya sutskever;james martens;geoffrey e hinton
199097577,distributed k means and k median clustering on general communication topologies,2013-01-01,mariaflorina balcan;steven ehrlich;yingyu liang
199559790,security and privacy of data in a cloud,2013-08-30,sushil jajodia
202444872,the linked data platform ldp,2013-05-13,arnaud j le hors;steve speicher
